,PREFERRED NAME,CASRN,use,SMILES,mw,nheavy,alogp
64,"2,2'-Dithiobisbenzothiazole",120-78-5,"Fungicide,Insecticide,Microbiocide",c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,332.50000000000006,20,5.705400000000002
65,"2,2'-Methylenebis(4,6-dichlorophenol)",1940-43-8,Microbiocide,Oc1c(Cl)cc(Cl)cc1Cc1cc(Cl)cc(Cl)c1O,338.01700000000005,19,5.302200000000003
66,"2,2'-oxybis (4,4,6-trimethyl-1,3,2-dioxaborinane)",14697-50-8,Microbiocide,CC1CC(C)(C)OB(OB2OC(C)CC(C)(C)O2)O1,269.943,19,2.1807999999999996
67,"2,3,5-trichloro-4-(propylsulfonyl) pyridine",38827-35-9,Microbiocide,CCCS(=O)(=O)c1c(Cl)cnc(Cl)c1Cl,288.58299999999997,15,3.225500000000002
68,"2,3,5,6-tetrachloro-4-(methylsulfonyl) pyridine",13108-52-6,Microbiocide,CS(=O)(=O)c1c(Cl)c(Cl)nc(Cl)c1Cl,294.97400000000005,14,3.098700000000001
69,"2,3,6-Trichlorobenzoic acid, sodium salt",2078-42-4,Herbicide,O=C(O)c1c(Cl)ccc(Cl)c1Cl,225.458,12,3.3450000000000006
70,"2,3,6-Trichlorophenylacetic acid",2903-64-2,Herbicide,O=C(O)Cc1cc(Cl)c(Cl)cc1Cl,239.485,13,3.273900000000001
71,"2,3,6-Trichlorophenylacetic acid, sodium salt",53404-91-4,Herbicide,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,239.485,13,3.273900000000001
72,"2,3(and 3,4)-Dichlorobenzyl methylcarbamates",62046-37-1,Insecticide,CNC(=O)OCc1cccc(Cl)c1Cl,234.082,14,2.849400000000001
73,"2,4-D",94-75-7,"Herbicide,Plant Growth Regulator",O=C(O)COc1ccc(Cl)cc1Cl,221.039,13,2.4568000000000003
74,"2,4-D, 2-butoxyisopropyl ester",3966-11-8,Herbicide,CCCCOCC(C)OC(=O)COc1ccc(Cl)cc1Cl,335.227,21,4.120600000000004
75,"2,4-D, 2-ethylhexyl ester",1928-43-4,Herbicide,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,333.255,21,5.131800000000005
76,"2,4-D, butoxy ethoxy propanol ester",1928-57-0,Herbicide,CCCCOCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,379.28,24,4.138800000000004
77,"2,4-D, butoxyethanol ester",1929-73-3,Herbicide,CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,321.20000000000005,20,3.7321000000000026
78,"2,4-D, butoxypropyl ester",1928-45-6,Herbicide,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,335.227,21,4.122200000000004
79,"2,4-D, butyl ester",94-80-4,Herbicide,CCCCOC(=O)COc1ccc(Cl)cc1Cl,277.147,17,3.7155000000000022
80,"2,4-D, chlorocrotyl ester",2971-38-2,Herbicide,O=C(COc1ccc(Cl)cc1Cl)OC/C=C/CCl,309.576,18,3.7104000000000026
81,"2,4-D, isopropyl ester",94-11-1,Herbicide,CC(C)OC(=O)COc1ccc(Cl)cc1Cl,263.12,16,3.323800000000002
82,"2,4-D, lithium salt",3766-27-6,Herbicide,O=C(O)COc1ccc(Cl)cc1Cl,221.039,13,2.4568000000000003
83,"2,4-D, octyl ester",1928-44-5,Herbicide,CCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,333.255,21,5.2759000000000045
84,"2,4-D, propyl ester",1928-61-6,Herbicide,CCCOC(=O)COc1ccc(Cl)cc1Cl,263.12,16,3.325400000000002
85,"2,4-D, propylene glycol butyl ether ester",1320-18-9,Herbicide,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,335.227,21,4.122200000000004
86,"2,4-D, sodium salt",2702-72-9,Herbicide,O=C(CO)Oc1ccc(Cl)cc1Cl,221.039,13,1.8911
87,"2,4-DB acid",94-82-6,Herbicide,O=C(O)CCCOc1ccc(Cl)cc1Cl,249.09300000000002,15,3.237000000000002
88,"2,4-DB, isooctyl ester",1320-15-6,Herbicide,CCCCCCC(C)OC(=O)CCCOc1ccc(Cl)cc1Cl,361.30899999999997,23,6.054500000000005
89,"2,4-DES",149-26-8,Herbicide,O=S(=O)(O)OCCOc1ccc(Cl)cc1Cl,287.12,16,2.1916
90,Tirpate,26419-73-8,Insecticide,CNC(=O)O/N=C/C1(C)SCC(C)S1,234.34599999999998,14,1.9128999999999998
91,"2,4-DP, isooctyl ester",28631-35-8,"Herbicide,Plant Growth Regulator",CCCCCCC(C)OC(=O)C(C)Oc1ccc(Cl)cc1Cl,347.28200000000004,22,5.662800000000005
92,"2,4-DP,2-ethylhexyl ester",79270-78-3,"Herbicide,Plant Growth Regulator",CCCCC(CC)COC(=O)C(C)Oc1ccc(Cl)cc1Cl,347.28200000000004,22,5.520300000000005
93,"2,4-xylenol",105-67-9,"Fungicide,Microbiocide,Solvent",Cc1ccc(O)c(C)c1,122.16699999999999,9,2.0090399999999997
94,"2,4,5-T",93-76-5,Herbicide,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,255.48399999999998,14,3.1102000000000007
95,"2,4,5-T, 2-ethylhexyl ester",1928-47-8,Herbicide,CCCCC(CC)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,367.70000000000005,22,5.785200000000005
96,"2,4,5-T, butoxyethanol ester",2545-59-7,Herbicide,CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,355.6450000000001,21,4.385500000000004
97,"2,4,5-T, butyl ester",93-79-8,Herbicide,CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,311.592,18,4.368900000000003
98,"2,4,5-T, butyric acid",93-80-1,Herbicide,O=C(O)CCCOc1cc(Cl)c(Cl)cc1Cl,283.538,16,3.8904000000000014
99,"2,4,5-T, isooctyl ester",25168-15-4,Herbicide,CCCC(CC)CCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,367.70000000000005,22,5.785200000000005
100,"2,4,5-trichlorophenol",95-95-4,"Algaecide,Microbiocide",Oc1cc(Cl)c(Cl)cc1Cl,197.448,10,3.3524000000000003
101,"2,4,5-trichlorophenol, potassium salt",35471-43-3,Microbiocide,Oc1cc(Cl)c(Cl)cc1Cl,197.448,10,3.3524000000000003
102,"2,4,5-Trichlorophenol, sodium salt",136-32-3,"Algaecide,Microbiocide",Oc1cc(Cl)c(Cl)cc1Cl,197.448,10,3.3524000000000003
103,"2,4,5-trichlorophenoxyacetic acid, 2-ethyl-4-methylpentyl ester",69462-12-0,Herbicide,CCC(COC(=O)COc1cc(Cl)c(Cl)cc1Cl)CC(C)C,367.70000000000016,22,5.641100000000004
104,"2,4,5-trichlorophenoxyacetic acid, amyl ester",120-39-8,Herbicide,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,325.619,19,4.759000000000003
105,"2,4,5-trichlorophenoxyacetic acid, butoxyethoxypropanol ester",1928-58-1,Herbicide,CCCCOCCOCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,413.725,25,4.792200000000005
106,"2,4,5-trichlorophenoxyacetic acid, isobutyl ester",4938-72-1,Herbicide,CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,311.592,18,4.224800000000003
107,"2,4,5-trichlorophenoxyacetic acid, isopropyl ester",93-78-7,Herbicide,CC(C)OC(=O)COc1cc(Cl)c(Cl)cc1Cl,297.56500000000005,17,3.9772000000000025
108,"2,4,5-trichlorophenoxyacetic acid, pentyl ester",55491-33-3,Herbicide,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,325.619,19,4.759000000000003
109,"2,4,5-trichlorophenoxyacetic acid, sodium salt",13560-99-1,Herbicide,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,255.48399999999998,14,3.1102000000000007
110,"2,4,6-trichlorophenol",88-06-2,Microbiocide,Oc1c(Cl)cc(Cl)cc1Cl,197.44799999999998,10,3.3523999999999994
111,"2,4,6-Trichlorophenol, sodium salt",3784-03-0,"Algaecide,Microbiocide",Oc1c(Cl)cc(Cl)cc1Cl,197.44799999999998,10,3.3523999999999994
112,"2,5-dichloro-alpha-(chloromethylene)benzyl diethyl phosphate",2701-86-2,Insecticide,CCOP(=O)(OCC)O/C(=C\Cl)c1cc(Cl)ccc1Cl,359.5730000000001,20,5.7283000000000035
113,"2,5-dichloro-alpha-(dichloromethylene)benzyl diethyl phosphate",5723-62-6,Insecticide,CCOP(=O)(OCC)OC(=C(Cl)Cl)c1cc(Cl)ccc1Cl,394.01800000000014,21,6.294800000000003
114,"2,5-Dichlorobenzoic acid",50-79-3,Fungicide,O=C(O)c1cc(Cl)ccc1Cl,191.013,11,2.691600000000001
115,"2,5-Dichlorobenzoic acid methyl ester",2905-69-3,Fungicide,COC(=O)c1cc(Cl)ccc1Cl,205.04000000000002,12,2.780000000000001
116,"3-Acetyl-2-(2,6-dimethyl-5-heptenyl)oxazolidine",39785-81-4,Microbiocide,CC(=O)N1CCOC1CC(C)CCC=C(C)C,239.35899999999995,17,2.963800000000001
117,"3-Bromo-1-chloro-5,5-dimethylhydantoin",126-06-7,"Fungicide,Herbicide,Microbiocide",CC1(C)C(=O)N(Br)C(=O)N1Cl,241.472,11,1.4929000000000001
118,"3-chloro-2-biphenylol, sodium salt",10605-11-5,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
